Latitude,Longitude,Index,Relative_Latitude,Relative_Longitude,Relative_Latitude_miles,Relative_Longitude_miles,Rotated_Longitude_miles,Rotated_Latitude_miles
36.84767,-75.97489,35,0.00564210000000287,0.00982270000000085,0.389304900000198,0.5424107828205998,0.6127088004678596,0.265246467108342
36.84562,-75.98441,36,0.0035920999999987657,0.0003027000000059843,0.24785489999991484,0.016715133717107037,0.0689654781717315,0.23865290689554355
36.84669,-75.97822,37,0.004662100000004443,0.006492700000009677,0.3216849000003066,0.3585277458971823,0.41866040195467374,0.2382158418356612
36.84564,-75.97435,38,0.003612100000005114,0.010362700000001723,0.24923490000035287,0.5722296536731731,0.6121040076428687,0.12203891079751769
36.84564,-75.97435,39,0.003612100000005114,0.010362700000001723,0.24923490000035287,0.5722296536731731,0.6121040076428687,0.12203891079751769
36.84535,-75.97395,40,0.0033221000000054346,0.010762700000000791,0.229224900000375,0.5943177061564736,0.6294392332766148,0.0977948988619641
36.84381,-75.9772,41,0.0017820999999997866,0.007512700000006589,0.12296489999998528,0.41485227972955924,0.43150256197096404,0.0320674233656708
36.84381,-75.9772,42,0.0017820999999997866,0.007512700000006589,0.12296489999998528,0.41485227972955924,0.43150256197096404,0.0320674233656708
36.84285,-75.98272,43,0.0008221000000006029,0.001992700000002401,0.0567249000000416,0.11003715545907113,0.11957308664305143,0.03206504034290027
36.84381,-75.9772,44,0.0017820999999997866,0.007512700000006589,0.12296489999998528,0.41485227972955924,0.43150256197096404,0.0320674233656708
36.84381,-75.9772,45,0.0017820999999997866,0.007512700000006589,0.12296489999998528,0.41485227972955924,0.43150256197096404,0.0320674233656708
36.84415,-75.97523,46,0.002122100000001126,0.009482700000006616,0.14642490000007768,0.523635938210069,0.5427869962456766,0.031892378897908524
